question_id,question_text,decomposition,program,operators,split
SPIDER_train_1006,What are the schools that were either founded before 1850 or are public?,return schools ;return #1 founded before 1850 ;return #1 that  are  public ;return #2 or  #3,"[""SELECT['schools']"", ""FILTER['#1', 'founded before 1850']"", ""FILTER['#1', 'that are public']"", ""UNION['#2', '#3']""]","['select', 'filter', 'filter', 'union']",train
SPIDER_train_1007,Find how many different affiliation types there are.,return affiliations ;return number of #1,"[""SELECT['affiliations']"", ""AGGREGATE['count', '#1']""]","['select', 'aggregate']",train
SPIDER_train_1008,Count the number of different affiliation types.,return affiliations ;return types of  #1 ;return number of #2 ;return #3 where  #2 is  different,"[""SELECT['affiliations']"", ""PROJECT['types of #REF', '#1']"", ""AGGREGATE['count', '#2']"", ""COMPARATIVE['#3', '#2', 'is different']""]","['select', 'project', 'aggregate', 'comparative']",train
SPIDER_train_1009,Find how many school locations have the word 'NY'.,return schools ;return locations of  #1 ;return #2 that  have  the word 'NY ;return number of #3,"[""SELECT['schools']"", ""PROJECT['locations of #REF', '#1']"", ""FILTER['#2', 'that have the word NY']"", ""AGGREGATE['count', '#3']""]","['select', 'project', 'filter', 'aggregate']",train
SPIDER_train_101,Find the id of courses which are registered or attended by student whose id is 121?,return students ;return ids of  #1 ;return #1 where  #2 is  121 ;return courses registered by #3 ;return courses attended by #3 ;return ids of  #4 ;return ids of  #5 ;return #6 or  #7,"[""SELECT['students']"", ""PROJECT['ids of #REF', '#1']"", ""COMPARATIVE['#1', '#2', 'is 121']"", ""PROJECT['courses registered by #REF', '#3']"", ""PROJECT['courses attended by #REF', '#3']"", ""PROJECT['ids of #REF', '#4']"", ""PROJECT['ids of #REF', '#5']"", ""UNION['#6', '#7']""]","['select', 'project', 'comparative', 'project', 'project', 'project', 'project', 'union']",train
SPIDER_train_1010,How many universities have a location that contains NY?,return universities ;return locations of  #1 ;return #1 where  #2 contains NY ;return number of  #3,"[""SELECT['universities']"", ""PROJECT['locations of #REF', '#1']"", ""COMPARATIVE['#1', '#2', 'contains NY']"", ""AGGREGATE['count', '#3']""]","['select', 'project', 'comparative', 'aggregate']",train
SPIDER_train_1011,Find the team names of the universities whose enrollments are smaller than the average enrollment size.,return universities ;return enrollment of  #1 ;return average of  #2 ;return #1 where  #2 is  smaller than  #3 ;return team names of  #4,"[""SELECT['universities']"", ""PROJECT['enrollment of #REF', '#1']"", ""AGGREGATE['avg', '#2']"", ""COMPARATIVE['#1', '#2', 'is smaller than #3']"", ""PROJECT['team names of #REF', '#4']""]","['select', 'project', 'aggregate', 'comparative', 'project']",train
SPIDER_train_1012,What are the names of teams from universities that have a below average enrollment?,return universities ;return enrollments of  #1 ;return average of  #2 ;return #1 where #2 is  lower than #3 ;return teams of  #4 ;return names of  #5,"[""SELECT['universities']"", ""PROJECT['enrollments of #REF', '#1']"", ""AGGREGATE['avg', '#2']"", ""COMPARATIVE['#1', '#2', 'is lower than #3']"", ""PROJECT['teams of #REF', '#4']"", ""PROJECT['names of #REF', '#5']""]","['select', 'project', 'aggregate', 'comparative', 'project', 'project']",train
SPIDER_train_1013,Find the number of universities that have over a 20000 enrollment size for each affiliation type.,return affiliation types ;return universities of #1 ;return enrollment sizes of #2 ;return #2 where #3 is  higher than 20000 ;return number of  #4 for each #1,"[""SELECT['affiliation types']"", ""PROJECT['universities of #REF', '#1']"", ""PROJECT['enrollment sizes of #REF', '#2']"", ""COMPARATIVE['#2', '#3', 'is higher than 20000']"", ""GROUP['count', '#4', '#1']"", ""UNION['#1', '#5']""]","['select', 'project', 'project', 'comparative', 'group', 'union']",train
SPIDER_train_1014,"What are the different affiliations, and how many schools with each have an enrollment size of above 20000?","return different affiliations ;return schools with  #1 ;return enrollment sizes of #2 ;return #2 where #3 is  higher than 20000 ;return number of  #4 for each #1 ;return #1 ,  #5","[""SELECT['different affiliations']"", ""PROJECT['schools with #REF', '#1']"", ""PROJECT['enrollment sizes of #REF', '#2']"", ""COMPARATIVE['#2', '#3', 'is higher than 20000']"", ""GROUP['count', '#4', '#1']"", ""UNION['#1', '#5']""]","['select', 'project', 'project', 'comparative', 'group', 'union']",train
SPIDER_train_1015,Find the total number of students enrolled in the colleges that were founded after the year of 1850 for each affiliation type.,return affiliation types ;return colleges of  #1 ;return #2 founded after 1850 ;return students enrolled in #3 ;return number of #4 for each #1,"[""SELECT['affiliation types']"", ""PROJECT['colleges of #REF', '#1']"", ""FILTER['#2', 'founded after 1850']"", ""PROJECT['students enrolled in #REF', '#3']"", ""GROUP['count', '#4', '#1']"", ""UNION['#1', '#5']""]","['select', 'project', 'filter', 'project', 'group', 'union']",train
SPIDER_train_1016,"What are the different affiliations, and what is the total enrollment of schools founded after 1850 for each enrollment type?","return enrollment  types ;return schools of #1 ;return #2 founded after 1850 ;return affiliations of #3 ;return different #4 ;return enrollments of #3 ;return sum of #6 for each #3 ;return #5 ,  #7","[""SELECT['enrollment types']"", ""PROJECT['schools of #REF', '#1']"", ""FILTER['#2', 'founded after 1850']"", ""PROJECT['affiliations of #REF', '#3']"", ""PROJECT['different #REF', '#4']"", ""PROJECT['enrollments of #REF', '#3']"", ""GROUP['sum', '#6', '#3']"", ""UNION['#5', '#7']""]","['select', 'project', 'filter', 'project', 'project', 'project', 'group', 'union']",train
SPIDER_train_1017,What is the maximum enrollment across all schools?,return schools ;return enrollments of #1 ;return the  highest #2,"[""SELECT['schools']"", ""PROJECT['enrollments of #REF', '#1']"", ""AGGREGATE['max', '#2']""]","['select', 'project', 'aggregate']",train
SPIDER_train_1018,Return the maximum enrollment across all schools.,return schools ;return enrollment of #1 ;return maximum of #2,"[""SELECT['schools']"", ""PROJECT['enrollment of #REF', '#1']"", ""AGGREGATE['max', '#2']""]","['select', 'project', 'aggregate']",train
SPIDER_train_1019,List all information regarding the basketball match.,return matches ;return #1 of  basketball ;return information regarding #2,"[""SELECT['matches']"", ""FILTER['#1', 'of basketball']"", ""PROJECT['information regarding #REF', '#2']""]","['select', 'filter', 'project']",train
SPIDER_train_102,What are the ids of the courses that are registered or attended by the student whose id is 121?,"return student whose id is  121 ;return courses registered by #1 ;return courses attended by #1 ;return #2 ,  #3 ;return ids of  #4","[""SELECT['student whose id is 121']"", ""PROJECT['courses registered by #REF', '#1']"", ""PROJECT['courses attended by #REF', '#1']"", ""UNION['#2', '#3']"", ""PROJECT['ids of #REF', '#4']""]","['select', 'project', 'project', 'union', 'project']",train
SPIDER_train_1020,What is all the information about the basketball match?,return basketball match ;return all the  information about #1,"[""SELECT['basketball match']"", ""PROJECT['all the information about #REF', '#1']""]","['select', 'project']",train
SPIDER_train_1021,"List names of all teams in the basketball competition, ordered by all home scores in descending order.",return basketball competition ;return teams in #1 ;return names of #2 ;return home scores of #2 ;return #3 sorted by #4 in descending order,"[""SELECT['basketball competition']"", ""PROJECT['teams in #REF', '#1']"", ""PROJECT['names of #REF', '#2']"", ""PROJECT['home scores of #REF', '#2']"", ""SORT['#3', '#4', 'in descending order']""]","['select', 'project', 'project', 'project', 'sort']",train
SPIDER_train_1022,"What are the names of all the teams in the basketball competition, sorted by all home scores in descending order?",return basketball competitions ;return scores of  #1 ;return #1 sorted by #2 in descending order ;return teams of  #3 ;return names of  #4,"[""SELECT['basketball competitions']"", ""PROJECT['scores of #REF', '#1']"", ""SORT['#1', '#2', 'in descending order']"", ""PROJECT['teams of #REF', '#3']"", ""PROJECT['names of #REF', '#4']""]","['select', 'project', 'sort', 'project', 'project']",train
SPIDER_train_1023,the names of models that launched between 2002 and 2004.,return models ;return #1 that  launched between 2002 and  2004 ;return names of #2,"[""SELECT['models']"", ""FILTER['#1', 'that launched betweenleftside 2002']"", ""FILTER['#2', 'that launched betweenrightside 2004']"", ""PROJECT['names of #REF', '#3']""]","['select', 'filter', 'filter', 'project']",train
SPIDER_train_1024,Which model has the least amount of RAM? List the model name and the amount of RAM.,"return models ;return amounts of RAM that  #1 have ;return the   lowest of #2 ;return #1 where #2 is  #3 ;return the   name of #4 ;return #5 ,  #3","[""SELECT['models']"", ""PROJECT['amounts of RAM that #REF have', '#1']"", ""AGGREGATE['min', '#2']"", ""COMPARATIVE['#1', '#2', 'is #3']"", ""PROJECT['the name of #REF', '#4']"", ""UNION['#5', '#3']""]","['select', 'project', 'aggregate', 'comparative', 'project', 'union']",train
SPIDER_train_1025,"What are the chip model and screen mode of the phone with hardware model name ""LG-P760""?","return phones ;return hardware models of  #1 ;return names of  #2 ;return #1 where #3 is  LG-P760 ;return chip models of  #4 ;return screen modes of  #4 ;return #5 ,  #6","[""SELECT['phones']"", ""PROJECT['hardware models of #REF', '#1']"", ""PROJECT['names of #REF', '#2']"", ""COMPARATIVE['#1', '#3', 'is LG-P760']"", ""PROJECT['chip models of #REF', '#4']"", ""PROJECT['screen modes of #REF', '#4']"", ""UNION['#5', '#6']""]","['select', 'project', 'project', 'comparative', 'project', 'project', 'union']",train
SPIDER_train_1026,"How many phone hardware models are produced by the company named ""Nokia Corporation""?",return companies ;return phone hardware models produced by #1 ;return #2 where  #1 is  Nokia Corporation ;return number of #3,"[""SELECT['companies']"", ""PROJECT['phone hardware models produced by #REF', '#1']"", ""COMPARATIVE['#2', '#1', 'is Nokia Corporation']"", ""AGGREGATE['count', '#3']""]","['select', 'project', 'comparative', 'aggregate']",train
SPIDER_train_1027,"What is maximum and minimum RAM size of phone produced by company named ""Nokia Corporation""?","return phones ;return companies #1 are  produced by ;return #1 where #2 is  Nokia Corporation ;return RAM size of  #3 ;return maximum of  #4 ;return minimum of  #4 ;return #5 ,  #6","[""SELECT['phones']"", ""PROJECT['companies #REF are produced by', '#1']"", ""COMPARATIVE['#1', '#2', 'is Nokia Corporation']"", ""PROJECT['RAM size of #REF', '#3']"", ""AGGREGATE['max', '#4']"", ""AGGREGATE['min', '#4']"", ""UNION['#5', '#6']""]","['select', 'project', 'comparative', 'project', 'aggregate', 'aggregate', 'union']",train
SPIDER_train_1028,"What is the average ROM size of phones produced by the company named ""Nokia Corporation""?",return phones ;return #1 produced by the  company named Nokia Corporation ;return ROM size of  #2 ;return average of  #3,"[""SELECT['phones']"", ""FILTER['#1', 'produced by the company named Nokia Corporation']"", ""PROJECT['ROM size of #REF', '#2']"", ""AGGREGATE['avg', '#3']""]","['select', 'filter', 'project', 'aggregate']",train
SPIDER_train_1029,List the hardware model name and company name for all the phones that were launched in year 2002 or have RAM size greater than 32.,"return phones ;return year launched of #1 ;return #1 where #2 is  2002 ;return RAM sizes of #1 ;return #1 where #4 is  higher than 32 ;return #3 ,  #5 ;return hardware model names of #6 ;return company names of #6 ;return #7 ,  #8","[""SELECT['phones']"", ""PROJECT['year launched of #REF', '#1']"", ""COMPARATIVE['#1', '#2', 'is 2002']"", ""PROJECT['RAM sizes of #REF', '#1']"", ""COMPARATIVE['#1', '#4', 'is higher than 32']"", ""UNION['#3', '#5']"", ""PROJECT['hardware model names of #REF', '#6']"", ""PROJECT['company names of #REF', '#6']"", ""UNION['#7', '#8']""]","['select', 'project', 'comparative', 'project', 'comparative', 'union', 'project', 'project', 'union']",train
SPIDER_train_103,What are all info of students who registered courses but not attended courses?,return students ;return #1 who  registered courses  ;return #2 that  attended courses  ;return #2 besides  #3 ;return info of  #4,"[""SELECT['students']"", ""FILTER['#1', 'who registered courses']"", ""FILTER['#2', 'that attended courses']"", ""DISCARD['#2', '#3']"", ""PROJECT['info of #REF', '#4']""]","['select', 'filter', 'filter', 'discard', 'project']",train
SPIDER_train_1030,Find all phones that have word 'Full' in their accreditation types. List the Hardware Model name and Company name.,"return phones ;return accreditation types of #1 ;return #1 where #2 have the  word 'Full ;return Hardware Model of #3 ;return Company name  of #3 ;return #4 ,  #5","[""SELECT['phones']"", ""PROJECT['accreditation types of #REF', '#1']"", ""COMPARATIVE['#1', '#2', 'have the word Full']"", ""PROJECT['Hardware Model of #REF', '#3']"", ""PROJECT['Company name of #REF', '#3']"", ""UNION['#4', '#5']""]","['select', 'project', 'comparative', 'project', 'project', 'union']",train
SPIDER_train_1031,"Find the Char cells, Pixels and Hardware colours for the screen of the phone whose hardware model name is ""LG-P760"".","return phones ;return hardware model of #1 ;return #1 where #2 is LG-P760 ;return screen of #3 ;return Char cells of #4 ;return Pixels of #4 ;return Hardware colours of #4 ;return #5 ,  #6 ,   #7","[""SELECT['phones']"", ""PROJECT['hardware model of #REF', '#1']"", ""COMPARATIVE['#1', '#2', 'is LG-P760']"", ""PROJECT['screen of #REF', '#3']"", ""PROJECT['Char cells of #REF', '#4']"", ""PROJECT['Pixels of #REF', '#4']"", ""PROJECT['Hardware colours of #REF', '#4']"", ""UNION['#5', '#6', '#7']""]","['select', 'project', 'comparative', 'project', 'project', 'project', 'project', 'union']",train
SPIDER_train_1032,"List the hardware model name and company name for the phone whose screen mode type is ""Graphics.""","return phones ;return #1 with  screen mode type Graphics ;return company name  of #2 ;return hardware model name  of #2 ;return #4 ,  #3","[""SELECT['phones']"", ""FILTER['#1', 'with screen mode type Graphics']"", ""PROJECT['company name of #REF', '#2']"", ""PROJECT['hardware model name of #REF', '#2']"", ""UNION['#4', '#3']""]","['select', 'filter', 'project', 'project', 'union']",train
SPIDER_train_1033,Find the name of the company that has the least number of phone models. List the company name and the number of phone model produced by that company.,"return companies ;return phone models produced by #1 ;return the   number of  #2 for each #1 ;return the   lowest of   #3 ;return #1 where #3 is  #4 ;return the   name of   #5 ;return #6 ,  #4","[""SELECT['companies']"", ""PROJECT['phone models produced by #REF', '#1']"", ""GROUP['count', '#2', '#1']"", ""AGGREGATE['min', '#3']"", ""COMPARATIVE['#1', '#3', 'is #4']"", ""PROJECT['the name of #REF', '#5']"", ""UNION['#6', '#4']""]","['select', 'project', 'group', 'aggregate', 'comparative', 'project', 'union']",train
SPIDER_train_1034,List the name of the company that produced more than one phone model.,return companies ;return phone models of #1 ;return number of  #2 for each #1 ;return #1 where #3 is higher than one ;return name of #4,"[""SELECT['companies']"", ""PROJECT['phone models of #REF', '#1']"", ""GROUP['count', '#2', '#1']"", ""COMPARATIVE['#1', '#3', 'is higher than one']"", ""PROJECT['name of #REF', '#4']""]","['select', 'project', 'group', 'comparative', 'project']",train
SPIDER_train_1035,"List the maximum, minimum and average number of used kb in screen mode.","return screen mode ;return kb used #1 ;return maximum of #2 ;return minimum of #2 ;return average of #2 ;return #3 ,  #4 ,   #5","[""SELECT['screen mode']"", ""PROJECT['kb used #REF', '#1']"", ""AGGREGATE['max', '#2']"", ""AGGREGATE['min', '#2']"", ""AGGREGATE['avg', '#2']"", ""UNION['#3', '#4', '#5']""]","['select', 'project', 'aggregate', 'aggregate', 'aggregate', 'union']",train
SPIDER_train_1036,List the name of the phone model launched in year 2002 and with the highest RAM size.,return phone models ;return year launched of #1 ;return #1 where #2 is  2002 ;return RAM sizes of #1 ;return #1 where #4 is  highest ;return name of #1 ; return #6 of both #3 and #5,"[""SELECT['phone models']"", ""PROJECT['year launched of #REF', '#1']"", ""COMPARATIVE['#1', '#2', 'is 2002']"", ""PROJECT['RAM sizes of #REF', '#1']"", ""SUPERLATIVE['max', '#1', '#4']"", ""PROJECT['name of #REF', '#1']"", ""INTERSECTION['#6', '#3', '#5']""]","['select', 'project', 'comparative', 'project', 'superlative', 'project', 'intersection']",train
SPIDER_train_1037,"What are the wifi and screen mode type of the hardware model named ""LG-P760""?","return hardware models ;return #1 named LG-P760 ;return wifi type of  #2 ;return screen mode type of  #2 ;return #3 ,  #4","[""SELECT['hardware models']"", ""FILTER['#1', 'named LG-P760']"", ""PROJECT['wifi type of #REF', '#2']"", ""PROJECT['screen mode type of #REF', '#2']"", ""UNION['#3', '#4']""]","['select', 'filter', 'project', 'project', 'union']",train
SPIDER_train_1038,"List the hardware model name for the phones that have screen mode type ""Text"" or RAM size greater than 32.",return phones ;return screen mode types of  #1 ;return #1 where  #2 is Text ;return RAM sizes of  #1 ;return #1 where  #4 is higher than 32 ;return #3 or #5 ;return hardware model names of  #6,"[""SELECT['phones']"", ""PROJECT['screen mode types of #REF', '#1']"", ""COMPARATIVE['#1', '#2', 'is Text']"", ""PROJECT['RAM sizes of #REF', '#1']"", ""COMPARATIVE['#1', '#4', 'is higher than 32']"", ""UNION['#3', '#5']"", ""PROJECT['hardware model names of #REF', '#6']""]","['select', 'project', 'comparative', 'project', 'comparative', 'union', 'project']",train
SPIDER_train_1039,"List the hardware model name for the phones that were produced by ""Nokia Corporation"" or whose screen mode type is ""Graphics.""",return phones ;return #1 produced by Nokia Corporation ;return screen mode types of  #1 ;return #1 where  #3 is Graphics ;return #2 or #4 ;return hardware model names of  #5,"[""SELECT['phones']"", ""FILTER['#1', 'produced by Nokia Corporation']"", ""PROJECT['screen mode types of #REF', '#1']"", ""COMPARATIVE['#1', '#3', 'is Graphics']"", ""UNION['#2', '#4']"", ""PROJECT['hardware model names of #REF', '#5']""]","['select', 'filter', 'project', 'comparative', 'union', 'project']",train
SPIDER_train_104,What are all details of the students who registered but did not attend any course?,return students of  ;return #1 who  registered ;return #2 who  attend courses ;return #2 besides  #3 ;return details of  #4,"[""SELECT['students of']"", ""FILTER['#1', 'who registered']"", ""FILTER['#2', 'who attend courses']"", ""DISCARD['#2', '#3']"", ""PROJECT['details of #REF', '#4']""]","['select', 'filter', 'filter', 'discard', 'project']",train
SPIDER_train_1040,"List the hardware model name for the phons that were produced by ""Nokia Corporation"" but whose screen mode type is not Text.",return phons ;return #1 produced by Nokia Corporation ;return screen types of  #2 ;return #2 where  #3 is not  Text ;return hardware model names of  #4,"[""SELECT['phons']"", ""FILTER['#1', 'produced by Nokia Corporation']"", ""PROJECT['screen types of #REF', '#2']"", ""COMPARATIVE['#2', '#3', 'is not Text']"", ""PROJECT['hardware model names of #REF', '#4']""]","['select', 'filter', 'project', 'comparative', 'project']",train
SPIDER_train_1041,List the phone hardware model and company name for the phones whose screen usage in kb is between 10 and 15.,"return phones ;return screen usage of  #1 in kb ;return #1 where  #2 is at least 10 ;return #1 where  #2 is at most 15 ;return #1 of  both #3 and #4 ;return phone hardware models of  #5 ;return company names of  #5 ;return #6 ,  #7","[""SELECT['phones']"", ""PROJECT['screen usage of #REF in kb', '#1']"", ""COMPARATIVE['#1', '#2', 'is at least 10']"", ""COMPARATIVE['#1', '#2', 'is at most 15']"", ""INTERSECTION['#1', '#3', '#4']"", ""PROJECT['phone hardware models of #REF', '#5']"", ""PROJECT['company names of #REF', '#5']"", ""UNION['#6', '#7']""]","['select', 'project', 'comparative', 'comparative', 'intersection', 'project', 'project', 'union']",train
SPIDER_train_1042,Find the number of phones for each accreditation type.,return accreditation types ;return phones of #1 ;return number of  #2 for each #1,"[""SELECT['accreditation types']"", ""PROJECT['phones of #REF', '#1']"", ""GROUP['count', '#2', '#1']"", ""UNION['#1', '#3']""]","['select', 'project', 'group', 'union']",train
SPIDER_train_1043,How many phones belongs to each accreditation type?,return accreditation types ;return phones of  #1 ;return number of  #2 for each  #1,"[""SELECT['accreditation types']"", ""PROJECT['phones of #REF', '#1']"", ""GROUP['count', '#2', '#1']"", ""UNION['#1', '#3']""]","['select', 'project', 'group', 'union']",train
SPIDER_train_1044,Find the accreditation level that more than 3 phones use.,return accreditation levels ;return phones that  use #1 ;return number of  #2 for each  #1 ;return #1 where #3 is  higher than 3,"[""SELECT['accreditation levels']"", ""PROJECT['phones that use #REF', '#1']"", ""GROUP['count', '#2', '#1']"", ""COMPARATIVE['#1', '#3', 'is higher than 3']""]","['select', 'project', 'group', 'comparative']",train
SPIDER_train_1045,Find the details for all chip models.,return chip models ;return details of #1,"[""SELECT['chip models']"", ""PROJECT['details of #REF', '#1']""]","['select', 'project']",train
SPIDER_train_1046,How many models do not have the wifi function?,return models ;return functions of  #1 ;return #1 where  #2 is wifi ;return #1 besides #3 ;return number of  #4,"[""SELECT['models']"", ""PROJECT['functions of #REF', '#1']"", ""COMPARATIVE['#1', '#2', 'is wifi']"", ""DISCARD['#1', '#3']"", ""AGGREGATE['count', '#4']""]","['select', 'project', 'comparative', 'discard', 'aggregate']",train
SPIDER_train_1047,Count the number of chip model that do not have wifi.,return chip model ;return #1 that  have  wifi ;return #1 besides #2 ;return number of #3,"[""SELECT['chip model']"", ""FILTER['#1', 'that have wifi']"", ""DISCARD['#1', '#2']"", ""AGGREGATE['count', '#3']""]","['select', 'filter', 'discard', 'aggregate']",train
SPIDER_train_1048,List all the model names sorted by their launch year.,return models ;return names of  #1 ;return launch years of  #1 ;return #2 sorted by #3,"[""SELECT['models']"", ""PROJECT['names of #REF', '#1']"", ""PROJECT['launch years of #REF', '#1']"", ""SORT['#2', '#3']""]","['select', 'project', 'project', 'sort']",train
SPIDER_train_1049,Find the average ram mib size of the chip models that are never used by any phone.,return chip models ;return #1 that  are  never used by any phone ;return ram mib size of  #2 ;return average of  #3,"[""SELECT['chip models']"", ""FILTER['#1', 'that are never used by any phone']"", ""PROJECT['ram mib size of #REF', '#2']"", ""AGGREGATE['avg', '#3']""]","['select', 'filter', 'project', 'aggregate']",train
SPIDER_train_105,List the id of students who registered course statistics in the order of registration date.,return students ;return courses registered of #1 ;return #1 where #2 is  statistics ;return ids of #3 ;return registration dates of #3 ;return #4 sorted by #5,"[""SELECT['students']"", ""PROJECT['courses registered of #REF', '#1']"", ""COMPARATIVE['#1', '#2', 'is statistics']"", ""PROJECT['ids of #REF', '#3']"", ""PROJECT['registration dates of #REF', '#3']"", ""SORT['#4', '#5']""]","['select', 'project', 'comparative', 'project', 'project', 'sort']",train
SPIDER_train_1050,Find the names of the chip models that are not used by any phone with full accreditation type.,return phones ;return accreditation types of #1 ;return #1 where #2 is full ;return chip models of #3 ;return chip models besides  #4 ;return names of #5,"[""SELECT['phones']"", ""PROJECT['accreditation types of #REF', '#1']"", ""COMPARATIVE['#1', '#2', 'is full']"", ""PROJECT['chip models of #REF', '#3']"", ""SELECT['chip models']"", ""DISCARD['#5', '#4']"", ""PROJECT['names of #REF', '#6']""]","['select', 'project', 'comparative', 'project', 'select', 'discard', 'project']",train
SPIDER_train_1051,Find the pixels of the screen modes that are used by both phones with full accreditation types and phones with Provisional accreditation types.,return phones  ;return accreditation types of  #1 ;return #1 where  #2 is  full ;return #1 where  #2 is  Provisional ;return #3 and #4 ;return screen modes of  #5 ;return pixels of  #6,"[""SELECT['phones']"", ""PROJECT['accreditation types of #REF', '#1']"", ""COMPARATIVE['#1', '#2', 'is full']"", ""COMPARATIVE['#1', '#2', 'is Provisional']"", ""UNION['#3', '#4']"", ""PROJECT['screen modes of #REF', '#5']"", ""PROJECT['pixels of #REF', '#6']""]","['select', 'project', 'comparative', 'comparative', 'union', 'project', 'project']",train
SPIDER_train_1052,How many countries are there in total?,return countries ;return number of #1,"[""SELECT['countries']"", ""AGGREGATE['count', '#1']""]","['select', 'aggregate']",train
SPIDER_train_1053,Count the number of countries.,return countries ;return number of #1,"[""SELECT['countries']"", ""AGGREGATE['count', '#1']""]","['select', 'aggregate']",train
SPIDER_train_1054,Show the country name and capital of all countries.,"return countries ;return names of #1 ;return capitals of #1 ;return #2 ,  #3","[""SELECT['countries']"", ""PROJECT['names of #REF', '#1']"", ""PROJECT['capitals of #REF', '#1']"", ""UNION['#2', '#3']""]","['select', 'project', 'project', 'union']",train
SPIDER_train_1055,What are the names and capitals of each country?,"return countries ;return names of  #1 ;return capitals of  #1 ;return #2 ,  #3","[""SELECT['countries']"", ""PROJECT['names of #REF', '#1']"", ""PROJECT['capitals of #REF', '#1']"", ""UNION['#2', '#3']""]","['select', 'project', 'project', 'union']",train
SPIDER_train_1056,"Show all official native languages that contain the word ""English"".",return native languages ;return #1 that  contain the word English,"[""SELECT['native languages']"", ""FILTER['#1', 'that contain the word English']""]","['select', 'filter']",train
SPIDER_train_1057,"What are the official native languages that contain the string ""English"".",return native languages ;return #1 that  are official ;return #2 that  contain the  string English,"[""SELECT['native languages']"", ""FILTER['#1', 'that are official']"", ""FILTER['#2', 'that contain the string English']""]","['select', 'filter', 'filter']",train
SPIDER_train_1058,Show all distinct positions of matches.,return matches ;return distinct positions of  #1,"[""SELECT['matches']"", ""PROJECT['distinct positions of #REF', '#1']""]","['select', 'project']",train
SPIDER_train_1059,What are the different positions for match season?,return match season ;return different positions for #1,"[""SELECT['match season']"", ""PROJECT['different positions for #REF', '#1']""]","['select', 'project']",train
